months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,fraud_flag,reviews
8,49,222425,10/28/97,OH,250/500,1000,1511.74,4000000,629125,MALE,Associate,armed-forces,skydiving,other-relative,38836,-37745,01/31/15,Parked Car,Rear Collision,Minor Damage,Police,SC,Arlington,7745 Maple Drive,11,2,NO,0,3,YES,52503,2852,12222,37429,Ford,A3,2005,N,0,
341,72,515365,02/13/03,VA,250/500,2000,1224.16,5000000,601063,FEMALE,MD,sales,camping,unmarried,56336,-51710,09/11/14,Multi-vehicle Collision,Side Collision,Major Damage,Police,IL,Columbus,5717 4th St,5,1,YES,0,1,YES,105194,23185,19468,62541,Chevrolet,A3,1996,N,0,
296,69,782146,09/20/11,SC,250/500,1000,1203.53,6000000,432511,MALE,PhD,exec-managerial,camping,unmarried,60521,-40650,04/01/15,Parked Car,Rear Collision,Major Damage,,IN,Arlington,6869 5th Ridge,10,1,NO,0,3,YES,45296,9774,5955,29567,Ford,F150,2012,N,0,
27,21,270555,03/24/05,IN,100/300,1000,1279.68,6000000,634534,MALE,Masters,machine-op-inspct,dancing,own-child,21422,-5974,11/21/15,Multi-vehicle Collision,Front Collision,Minor Damage,,NC,Columbus,6019 1st Ave,21,1,YES,2,1,NO,33838,5214,5938,22686,Mercedes,RSX,2005,N,0,
454,24,876580,04/15/14,OH,250/500,500,1898.55,6000000,507404,MALE,MD,sales,golf,other-relative,5135,-68819,10/02/15,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Arlington,5479 4th St,21,3,NO,0,0,YES,55485,10751,6446,38288,Toyota,95,2004,N,0,
110,67,621560,02/28/04,SC,500/1000,1000,1786.73,6000000,565493,FEMALE,MD,machine-op-inspct,board-games,wife,22294,-30466,12/02/15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,IL,Hillsdale,3932 Maple Drive,3,3,?,0,3,?,31832,3283,6040,22509,Dodge,A3,2000,N,0,
128,63,290269,01/04/08,WV,250/500,1000,1376.5,6000000,416042,FEMALE,MD,priv-house-serv,skydiving,unmarried,32989,-77842,11/22/14,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Northbend,7664 2nd Drive,19,1,?,0,1,?,115076,19651,26951,68474,Accura,Highlander,2006,Y,1,Worst experience ever. Not recommended.
93,71,945141,02/14/03,IL,100/300,1000,1915.76,4000000,480688,FEMALE,MD,machine-op-inspct,dancing,wife,53004,-29507,06/17/14,Parked Car,Side Collision,Minor Damage,Police,WV,Riverwood,7483 5th Ridge,12,3,YES,1,0,YES,115269,25875,24319,65075,Toyota,Pathfinder,2006,Y,1,
167,28,220617,03/19/02,WV,500/1000,1000,1941.14,0,681732,FEMALE,Associate,priv-house-serv,reading,own-child,21156,-28514,01/25/15,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,Columbus,3521 5th Ridge,19,3,YES,2,2,YES,17165,3203,2686,11276,Accura,RAM,2006,N,0,
88,33,369164,07/24/99,VA,250/500,1000,1836.27,4000000,661649,MALE,High School,tech-support,bungie-jumping,unmarried,44063,-45662,12/25/14,Parked Car,Rear Collision,Minor Damage,Ambulance,SC,Springfield,8461 4th St,21,3,YES,1,3,YES,9207,2135,1795,5277,Accura,Highlander,2009,N,0,
